file_name,caption_1,caption_2,caption_3,caption_4,caption_5,caption_6,caption_7,caption_8,caption_9,caption_10
Distorted AM Radio noise.wav,A muddled noise of broken channel of the TV,A television blares the rhythm of a static TV.,Loud television static dips in and out of focus,The loud buzz of static constantly changes pitch and volume.,heavy static and the beginnings of a signal on a transistor radio,A chaotic hum from a disrupted TV channel emits static noise.,A buzzing sound of television static fluctuates in intensity.,Loud bursts of static emanate from an unclear TV broadcast.,Static noise shifts in pitch and volume on the TV screen.,Radio emits heavy static with faint signal beginnings.
Paper_Parchment_Rustling.wav,A person is turning a map over and over.,A person is very carefully rapping a gift for someone else.,A person is very carefully wrapping a gift for someone else.,"He sighed as he turned the pages of the book, stopping to scan the information.","papers are being turned, stopped, then turned again and someone is breathing.","A person carefully manipulates a map, turning it back and forth.","Someone is attentively wrapping a present, ensuring precision for another individual.",The gift is being wrapped with meticulous care by an individual.,He paused to read the information as he sighed while flipping through the book pages.,"As papers rustle and turn repeatedly, breath sounds are heard in the background."
03 Whales Slowing Down.wav,Several barnyard animals mooing in a barn while it rains outside.,"The vocalization of several whales, along with the clicking of large numbers of shrimp, reverberated below in the water.","Underwater, large numbers of shrimp clicking and several whales vocalizing.",Whales sing to one another over the flowing water in the distance.,wales sing to one another with water flowing in the background,"Underwater, humpback whales vocalize while shrimp click amidst flowing Caribbean waters.","Amidst ocean waves, whales sing and shrimp click in Puerto Rican seas.","In the sea, whale calls echo with shrimp clicks under a hydrophone.",Humpback whales' songs resonate with shrimp clicking sounds in Virgin Islands waters.,Whale vocalizations blend with shrimp clicks over Caribbean ocean currents.
Rope tied to boat in port.wav,An office chair is squeaking as someone bends back and forth in it.,Popping and squeaking gradually tapers off to a low level.,Someone is opening a creaky door slowly while a dog barks in the background,Squeaking and popping followed by gradual popping and tapering off.,an office chair is squeaking as someone leans forward and backward in it,A creaky chair squeaks as someone rocks back and forth in it.,Gradual popping subsides to a low hum with faint squeaking sounds.,"Slowly opening an old door emits creaks, accompanied by distant barking.","Initial squeaks give way to sporadic pops, then fade into silence.","A person gently rocks in their chair, causing it to emit soft squeaks."
carpenter bee.wav,A flying bee is buzzing loudly around an object and its wing hits it.,An annoying fly is buzzing loudly and consistently.,An insect buzzing in the foreground as birds chirp in the background.,"An insect trapped in a spider web struggles, breaks free and flies away.","Outdoors, insect trapped in a spider web and then breaks loose and flies away.","A buzzing bee circles an object, its wings clattering against it.","A persistent fly buzzes loudly, creating constant noise.",Buzzing insects are heard while birds chirp in the background.,An insect struggles within a spider web and then escapes.,"Outdoors, an insect is momentarily trapped in a web before escaping."
violin1.wav,A bow playing a stringed instrument in a one note tone repeatedly before violins join to create the melody.,A low stringed instrument drones a steady tone and is eventually joined by violins.,A large stringed instrument and a pair of violins are playing.,A musical instrument creates a tune and is followed by other instruments.,An orchestra practicing for an upcoming concert in an enclosed room.,"A solo stringed instrument plays a repetitive note, joined later by violins creating a melody.",A low drone from a large stringed instrument is complemented by the addition of violins.,A bow glides across a single note on a stringed instrument before violins weave in.,A solitary stringed instrument's hum transitions into a fuller sound with violin accompaniment.,An enclosed room resonates with a bowing string and the harmonious entrance of violins.
121006_rain&amp;storm.wav,"As thunder claps far in the distance, the rain pours down.",Rain pours down and thunder claps far in the distance.,Substantial rain and wind are pouring and spouting around and thunder is available.,The rain falls down the thunder is rumbling as someone is pounding and a car passes.,"The rain falls down while someone is pounding, a car passes by and the thunder is rumbling",Thunder rumbles far off as rain pours down steadily.,"In the distance, thunder claps accompany a steady downpour of rain.",Rain cascades while distant thunder reverberates in the background.,"As the rain falls, thunder echoes from afar amidst the stormy atmosphere.",The sound of rain and distant thunder fills the air with nature's melody.
draaiorgel2.wav,Something goes round that is playing its song.,"At the fair, music is playing near a carousel through the speaker.","Chiming of bells, whistles and horns at a performance.",Fair kind music is being played at the circus grounds.,Polka or fair kind of music is being played.,A merry-go-round plays its tune while kids enjoy the fair.,"Music fills the air near a carousel, enhancing the carnival atmosphere.",Whistles and bells create a lively soundscape at an outdoor event.,Enchanting melodies are heard on circus grounds under colorful tents.,Upbeat tunes reminiscent of fairs fill the surroundings with joy.
Officejet Printer.wav,A paper printer is printing off multiple pages.,A printer printing off multiple pages of paper,A small printing device performing duties and printing pages of text.,A tiny printer performs its duties and prints the words.,An automatic cutter feeds paper and cuts it.,An inkjet office printer is diligently printing several pages of text.,The small device in the workplace is actively printing multiple paper documents.,"A compact printer efficiently executes its task, producing numerous sheets of paper.","In an office setting, a tiny printer completes its job by generating printed pages.","A printer quietly fulfills its role, issuing several pieces of text on paper."
Stockholm subway C20 train departing.wav,"A buzzer warns of departure, a air brake is released, while a roller coaster ride takes off.","A horn beeps for an amusement park ride, air brakes release and the ride takes off.","A warning button sounds, then a vehicle goes at a high speed.","After a horn beeps for an amusement park ride, the air brakes release and the ride begins.","First comes a beeping sound, then a door closing, then the train starts to speed up.","A departure signal sounds, air brakes release, and an amusement ride begins its journey.",The horn signals a start as the brakes open and the roller coaster accelerates.,"An alert tone is followed by the opening of air brakes, launching a thrilling ride.",A warning sound precedes the release of air brakes on an exhilarating park attraction.,"After a beep, air brakes disengage, and the amusement ride takes off swiftly."
